Image,True_WNID,True_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",1.0711459497159126e-09,2.00356042867611e-09,1.0896460400644514e-09,2.4935844500362236e-09,8.399628548261262e-09,5.671588532152327e-09,2.8370203963845597e-08,1.560521134535975e-08,1.9877273160773257e-08,1.363724955183443e-08,2.4544473120613475e-08,0.07683733105659485
Image_2,n01443537,"goldfish, Carassius auratus",1.2041421193487167e-09,2.1723864929157344e-09,1.3032414036828754e-09,4.726588009873467e-09,1.533795668251514e-08,1.1903744656649451e-08,4.706828704570398e-08,2.320434511204894e-08,5.319185447660857e-08,5.539821401612244e-08,4.950430820827023e-07,0.7125596404075623
Image_3,n01443537,"goldfish, Carassius auratus",7.964656711934026e-10,1.6535638414083564e-09,1.103902858012873e-09,2.942173171760487e-09,1.1653201070771502e-08,7.00487978733122e-09,2.2601804872124376e-08,1.882131250852126e-08,3.195155784396775e-08,2.703402124382137e-08,2.0116776795475744e-06,0.9637970328330994
Image_4,n01443537,"goldfish, Carassius auratus",1.261048487855021e-09,2.1927246685038426e-09,1.39237132934511e-09,3.879738752488038e-09,1.648146330524014e-08,6.668944063648041e-09,4.725026059304582e-08,2.8043379174391703e-08,4.892728000527313e-08,3.1258711175041753e-08,6.401046448445413e-07,0.9501492977142334
Image_5,n01443537,"goldfish, Carassius auratus",6.961871634736383e-10,1.516568315373945e-09,1.0017279228335951e-09,2.6036170996945884e-09,1.0861135990580806e-08,6.981210276535421e-09,1.7555059628193703e-08,1.4523984681602542e-08,2.559108303046287e-08,1.8064808315898517e-08,9.991827454314262e-08,0.034714117646217346
Image_6,n01443537,"goldfish, Carassius auratus",7.929193412969937e-10,1.6506659372694799e-09,9.838453385313528e-10,2.4182185143217794e-09,1.1944750077930166e-08,9.377123078024852e-09,3.351423671915654e-08,1.9430013153964865e-08,4.832461897308349e-08,1.6051711071440877e-08,8.32981044140979e-08,0.0346624031662941
Image_7,n01443537,"goldfish, Carassius auratus",9.96292159882728e-10,1.8349041175369507e-09,1.0412519735325532e-09,2.028721635127795e-09,7.42086880833881e-09,2.6866664448732536e-09,1.4728735564517592e-08,8.624874148210893e-09,1.628986368018559e-08,1.8786870725762128e-08,3.1182728434941964e-06,0.8930705189704895
Image_8,n01443537,"goldfish, Carassius auratus",1.0207455991562142e-09,1.95757832166521e-09,1.2319461006882193e-09,4.5996335629183704e-09,1.52820991417002e-08,7.212674901779792e-09,3.628992928383923e-08,2.9295346593016802e-08,7.517727595995893e-08,1.2106994518035208e-07,6.983333605603548e-06,0.9990731477737427
Image_9,n01443537,"goldfish, Carassius auratus",7.644072597123852e-10,1.5053766011519087e-09,9.791896182775872e-10,1.6849932560347725e-09,6.45406617039157e-09,3.591288155746497e-09,2.5439595319198816e-08,1.0698130381570081e-08,1.8187515493650608e-08,7.681073554977047e-09,2.6306597078473715e-07,0.17916417121887207
Image_10,n01443537,"goldfish, Carassius auratus",9.319678362373907e-10,1.9510661974919685e-09,1.1252908604930667e-09,3.199065456982453e-09,1.1257882626125593e-08,5.062819052881196e-09,3.555908989483214e-08,1.6594347229670348e-08,2.688273248452333e-08,2.5367473455162326e-08,1.6263808220173814e-06,0.9831872582435608
Image_11,n01443537,"goldfish, Carassius auratus",1.2452191500145204e-09,2.131493426205111e-09,1.4007461857090675e-09,2.6227595650851754e-09,1.0288829344062833e-08,3.783363400344797e-09,2.850576308333075e-08,2.7981194250514818e-08,2.566124734926234e-08,1.532658622238614e-08,2.0108051046463515e-07,0.8513176441192627
Image_12,n01443537,"goldfish, Carassius auratus",9.499079300923086e-10,1.7211474467870858e-09,1.1296854562914405e-09,2.4738060488971314e-09,9.12578812517495e-09,3.824901728677332e-09,2.3093679857311145e-08,2.6713127709854234e-08,4.8773021177339615e-08,1.0735986677445908e-07,4.887172053713584e-06,0.9613311290740967
Image_13,n01443537,"goldfish, Carassius auratus",1.107807845457387e-09,2.0604353778708173e-09,1.2588674547231449e-09,3.233365353239037e-09,1.1294010171525315e-08,5.050061258060623e-09,2.800047305129283e-08,1.0981055176273458e-08,5.170775807528116e-08,5.64738002140075e-07,4.57260430266615e-05,0.9897634983062744
Image_14,n01443537,"goldfish, Carassius auratus",8.237226456486724e-10,1.6214704023909121e-09,1.0643737002880016e-09,2.2014734479824938e-09,8.158101749700108e-09,4.2286045776052106e-09,1.3685581556899251e-08,1.4921806013035166e-08,1.5240173567576676e-08,5.660795832085341e-09,1.3111749019856234e-08,0.001362062175758183
Image_15,n01443537,"goldfish, Carassius auratus",9.542135970264098e-10,1.779442926341801e-09,9.910648968158853e-10,2.7605617791692794e-09,9.435870751417497e-09,4.70546179798248e-09,2.93892448155475e-08,2.545732513681287e-08,4.645976403594432e-08,2.3301782903217827e-07,4.7705023462185636e-05,0.9960708618164062
Image_16,n01443537,"goldfish, Carassius auratus",8.59018300936043e-10,1.6819224901709617e-09,1.084936585016294e-09,3.4820863969997617e-09,1.15217604346185e-08,9.343280815699018e-09,3.313687813033539e-08,3.748158761140985e-08,5.108569567369159e-08,3.442782059437377e-08,1.561046332199112e-07,0.11313880980014801
Image_17,n01443537,"goldfish, Carassius auratus",8.585883670697569e-10,1.5607256598215713e-09,1.0376790537947045e-09,2.641846963413741e-09,8.044792387806865e-09,3.5460148151145177e-09,1.2983399244603788e-08,1.9087444513843366e-08,2.6814010567477453e-08,4.332809666607318e-08,9.270534633287753e-07,0.9535885453224182
