Image,True_WNID,True_Label,Random_WNID,Random_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",n02988304,CD player,0.003179298248142004,0.000532803125679493,7.956519402796403e-05,5.269442044664174e-05,9.752297046361491e-05,0.0004132339090574533,2.2163621906656772e-05,0.0005322527722455561,0.00013639662938658148,3.061377356061712e-06,0.0004698704869952053,1.6501542177138617e-06
Image_2,n01443537,"goldfish, Carassius auratus",n03930313,"picket fence, paling",0.00039769290015101433,0.016544822603464127,0.009163782000541687,0.0001517283817520365,0.003971187863498926,0.00867201667279005,0.005590745247900486,0.059659428894519806,0.00018064909090753645,8.767517101659905e-06,0.0007895278977230191,2.2824876566573948e-07
Image_3,n01443537,"goldfish, Carassius auratus",n01917289,brain coral,0.00018982966139446944,0.0001339823065791279,7.912810542620718e-05,0.0027904098387807608,0.000590104260481894,0.0002447865845169872,0.002495643449947238,0.05221789702773094,0.00024902611039578915,6.079385912016733e-06,2.333192014702945e-06,1.0420593277160606e-08
Image_4,n01443537,"goldfish, Carassius auratus",n02002724,"black stork, Ciconia nigra",0.0016183385159820318,0.002010287018492818,9.819407569011673e-05,0.0004667619941756129,0.011954913847148418,0.0009967241203412414,0.0004646387533284724,0.0021354539785534143,0.03891900181770325,6.300991572061321e-06,2.673368044270319e-06,4.749938398163067e-08
Image_5,n01443537,"goldfish, Carassius auratus",n02948072,"candle, taper, wax light",0.00020222750026732683,0.005576088093221188,9.129481622949243e-05,0.0044108303263783455,0.0031201529782265425,0.007641866337507963,0.00022510485723614693,0.0018775963690131903,4.4327981640890357e-07,9.873749462485648e-08,4.544554883523233e-07,0.031685248017311096
Image_6,n01443537,"goldfish, Carassius auratus",n03393912,freight car,4.206110679660924e-05,0.0001311807136517018,0.0005339147755876184,0.0023817301262170076,0.005900364834815264,7.613852358190343e-05,0.0001376194559270516,0.008815929293632507,0.06508460640907288,5.9928504924755543e-05,1.4479149285762105e-05,1.493660661822105e-08
Image_7,n01443537,"goldfish, Carassius auratus",n07768694,pomegranate,0.0015608606627210975,0.00032142549753189087,0.002137548290193081,0.00023891584714874625,0.0004340478917583823,0.0009926295606419444,0.00039268392720259726,0.0006621869979426265,0.0002722716308198869,6.849792407592759e-05,9.048962056112941e-06,0.00015980630996637046
Image_8,n01443537,"goldfish, Carassius auratus",n04285008,"sports car, sport car",2.8431422833818942e-06,0.004713754635304213,5.44759095646441e-05,4.416257070261054e-05,0.005996820982545614,0.0008849544683471322,0.004240149166435003,0.00010933198791462928,0.01294113788753748,1.6972840967355296e-05,1.2133674545111717e-06,2.2654887688045022e-10
Image_9,n01443537,"goldfish, Carassius auratus",n03902125,"pay-phone, pay-station",5.2438223065109923e-05,5.07138975081034e-05,1.681851063040085e-05,0.012718128971755505,0.00010299162386218086,0.0014434810727834702,0.0266589242964983,0.034538935869932175,1.976088242372498e-05,0.00015192398859653622,1.6468270302993915e-07,1.4696252947032917e-05
Image_10,n01443537,"goldfish, Carassius auratus",n02099712,Labrador retriever,0.004382563754916191,0.0003513884439598769,0.0019108484266325831,0.0023058343213051558,0.005781602580100298,0.03337692841887474,0.016475537791848183,0.0030226297676563263,0.00013446314551401883,9.810504707274958e-06,3.014708624959894e-07,2.831528490787605e-06
Image_11,n01443537,"goldfish, Carassius auratus",n03393912,freight car,0.00011200489097973332,0.00012065215560141951,0.0008722962811589241,0.0006230135331861675,0.0006822808063589036,0.00016019193571992218,0.0015247081173583865,0.0003588730760384351,0.0035552766639739275,0.0004168353043496609,1.7099095828143618e-07,0.00039324452518485487
Image_12,n01443537,"goldfish, Carassius auratus",n01917289,brain coral,0.006108497269451618,0.001183612970635295,4.045414971187711e-05,8.420329686487094e-05,0.00230519101023674,0.00040049332892522216,0.000432725966675207,0.0007060079369693995,0.026860300451517105,0.00032032880699262023,0.00023773405700922012,7.13823246769607e-05
Image_13,n01443537,"goldfish, Carassius auratus",n04532670,viaduct,9.854231393546797e-06,0.0002376226766500622,4.912692747893743e-05,0.0001504663669038564,9.791532647795975e-05,0.0005217951838858426,0.0025329666677862406,9.712985047372058e-05,0.004531092010438442,2.4485969333909452e-05,7.392220724433685e-10,2.6511877138091222e-09
Image_14,n01443537,"goldfish, Carassius auratus",n02699494,altar,2.2994165192358196e-05,7.401264883810654e-05,4.1517094359733164e-05,4.320135849411599e-05,3.218612619093619e-05,9.250778384739533e-05,8.746996172703803e-05,9.203842637361959e-05,0.002518788678571582,0.00013303761079441756,0.00011148675548611209,6.801384188293014e-06
Image_15,n01443537,"goldfish, Carassius auratus",n03042490,cliff dwelling,4.618079401552677e-05,0.0016888794489204884,0.00012306697317399085,6.68748834868893e-05,0.0038869946729391813,0.00037671151221729815,0.007163546979427338,0.0013571580639109015,0.0011405885452404618,1.6279760529869236e-05,0.0009689001017250121,7.312486616228853e-09
Image_16,n01443537,"goldfish, Carassius auratus",n04311004,steel arch bridge,0.0009934739209711552,1.3134986147633754e-05,0.0079613346606493,0.001819001859985292,0.00022771212388761342,0.00876043550670147,0.004180793650448322,0.008322198875248432,0.03103622980415821,1.3532030607166234e-06,0.00010560456576058641,3.3346532291034237e-07
Image_17,n01443537,"goldfish, Carassius auratus",n03617480,kimono,7.348431972786784e-05,0.0003617685579229146,3.58601646439638e-05,0.03665190190076828,0.004162268713116646,0.0003233628231100738,7.412175909848884e-05,0.023021066561341286,0.0004652614879887551,1.1118395377707202e-05,6.162455434832737e-08,8.441972568107303e-06
Image_18,n01443537,"goldfish, Carassius auratus",n02909870,"bucket, pail",0.00034652010072022676,0.00024243956431746483,0.0010347644565626979,0.0003136284358333796,0.00555176567286253,0.006807536818087101,0.0038581653498113155,1.0105994078912772e-05,5.910473646508763e-06,3.180910880473675e-06,7.679002737859264e-05,1.4566555739392584e-09
Image_19,n01443537,"goldfish, Carassius auratus",n04540053,volleyball,0.0012545394711196423,6.091665909480071e-06,0.0016784558538347483,0.0018410569755360484,0.00039228377863764763,0.00015889984206296504,5.035965295974165e-05,3.136783925583586e-05,7.564614497823641e-05,1.4665390608570306e-06,4.361233550298493e-06,0.00014876961358822882
Image_20,n01443537,"goldfish, Carassius auratus",n03662601,lifeboat,8.691710718267132e-06,0.000570018426515162,1.8080731024383567e-05,0.0984976515173912,0.00012046800839016214,1.5350038665928878e-05,0.0017419070936739445,9.390723425894976e-05,7.124171679606661e-05,0.00011236847785767168,0.0003538923047017306,0.0002337976620765403
